embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,player_name,cluster
2.1821902,-0.22603764,-1.1099424,-1.3483534,2.5996485,-1.178403,Allen Iverson,2
2.8435872,-1.5619963,3.508313,-3.1162295,2.4101558,0.49556804,Amar'e Stoudemire,1
3.6605291,2.6471486,3.2416968,-2.2618434,1.6378855,-1.2969294,Andre Iguodala,3
5.047939,-1.5595117,2.2874665,-6.2662706,0.6324809,-1.3832295,Anthony Davis,1
3.147816,3.9945486,3.1761823,-3.6483247,-0.63881785,-2.738242,Ben Wallace,3
3.7498372,-0.45043588,2.3146977,-3.9746802,2.7447658,0.39022276,Blake Griffin,1
3.5906599,-0.8343066,3.0771556,-3.6479952,3.1042175,-1.6970228,Carmelo Anthony,1
3.992515,-0.11905207,3.634676,-0.18241179,3.9060874,-0.4985193,Chauncey Billups,4
5.0533967,-1.6609634,2.5927846,-3.108222,2.2595582,-1.6441572,Chris Bosh,1
5.409165,0.16050743,0.5743157,-0.6650637,3.5187416,-0.8854617,Chris Paul,4
5.3184724,-1.7826427,2.935733,-2.460305,5.0037594,-0.9496355,Damian Lillard,1
4.367138,0.8660215,1.7921999,-1.9472961,-0.7691698,-0.1774782,David Robinson,3
6.170174,-1.4496368,3.4158857,-2.1247466,2.9945788,-1.7069638,Dirk Nowitzki,0
4.652934,3.899868,3.607819,-2.562083,2.2684226,-1.2332453,Draymond Green,0
2.7578478,-0.42746794,0.007372792,-2.1861808,3.063192,-0.32016185,Dwyane Wade,2
2.408726,-0.3205486,2.1078303,-0.78000087,2.7629323,-0.6788947,Gary Payton,4
3.4843018,-0.1847667,1.8525217,-4.6573577,1.6045886,0.4354471,Giannis Antetokounmpo,1
1.3523207,1.5631607,2.476464,-2.5176203,-0.17303616,0.1002976,Hakeem Olajuwon,3
5.517487,-0.8037302,5.6008325,-1.9182312,5.2097573,-0.7406267,Jamal Murray,0
4.889217,-1.1171778,0.812982,-1.7186074,4.051202,-0.049507678,James Harden,4
2.8751807,1.776738,0.10285693,-1.0097923,2.3003116,-2.2011082,Jason Kidd,2
4.2097807,1.4477112,6.296443,-2.9162576,3.6886458,-0.3603695,Jaylen Brown,0
7.7956524,0.09004025,4.639456,-2.4897032,3.2906804,-1.82377,Jayson Tatum,0
5.4649315,1.4403871,3.5684135,-2.466742,2.5404687,-2.164238,Jimmy Butler III,0
3.7889068,-0.6543022,0.8720563,1.0875219,2.6599164,0.95438516,John Stockton,4
3.107827,-1.2012416,-0.06538541,-1.6965663,1.4068346,-0.15805197,Karl Malone,2
7.6198325,0.9721738,3.1390524,-1.9825983,2.2530851,-1.4291567,Kawhi Leonard,0
6.33795,-2.3440106,1.8449861,-3.1102562,2.7516932,-0.64040494,Kevin Durant,1
4.256618,0.7742377,1.4372417,-2.5600712,1.0949771,-1.3211753,Kevin Garnett,3
4.6478906,-1.3613082,4.9409523,-4.3894963,3.4599118,-1.8257961,Kevin Love,1
6.062203,0.010162488,5.2270985,-2.012863,4.3502827,-1.6627316,Khris Middleton,0
7.4766994,-0.32294756,5.026435,-1.8395209,3.9323897,-1.6200444,Klay Thompson,0
2.7725701,-1.1312492,-0.20474619,-2.5345032,3.1415286,-1.2279251,Kobe Bryant,2
4.5936213,-1.7083277,3.094388,-2.411087,4.728455,-0.92950636,Kyrie Irving,1
3.8794076,-0.6297404,-1.1108571,-2.8167536,1.8897225,0.15861142,LeBron James,2
5.16414,1.7777561,3.3918238,0.10418229,3.4219542,0.33505833,Manu Ginobili,4
1.9802336,-0.7234582,0.68663317,-1.9238787,2.059825,-1.1562577,Michael Jordan,2
1.230487,0.5502117,4.510745,-2.2022846,1.7653507,-0.06717792,Patrick Ewing,3
3.8130224,-1.3649632,3.388819,-3.459306,2.3919158,-0.76124907,Pau Gasol,1
5.260811,1.6139625,2.8471355,-2.525214,2.876864,-2.1419208,Paul George,0
5.3342166,-0.1997919,3.1893847,-2.217905,1.6762886,-1.609644,Rasheed Wallace,0
5.375234,-1.4973848,2.8533962,-1.1537006,3.2269778,-1.5887288,Ray Allen,4
4.750933,-1.0641305,3.973567,-0.03525883,2.4965992,-1.3331287,Reggie Miller,4
2.9243615,0.11893143,2.9553375,-1.4539757,3.0169482,-1.0727903,Richard Hamilton,4
2.2382078,0.8125214,-1.1673226,-2.566981,3.4036307,-0.092532516,Russell Westbrook,2
1.2349454,0.99436224,2.3535933,-1.0076976,1.7675904,-1.111817,Scottie Pippen,3
1.6200408,-0.664651,0.9441193,-3.1292658,0.23285747,2.532005,Shaquille O'Neal,3
4.925768,-0.12266393,2.5228143,-2.881459,1.3498812,-3.104489,Shawn Marion,0
6.564228,-1.6349397,2.200188,-1.0361176,4.737569,-0.118074834,Stephen Curry,4
4.198543,-1.827001,2.1092792,-0.10538614,4.9023614,1.0471628,Steve Nash,4
4.01633,1.0873989,5.5491695,-2.1938102,3.0589008,-2.05587,Tayshaun Prince,0
4.6784487,0.722203,1.0321077,-2.8350492,0.4841919,-0.1759674,Tim Duncan,3
3.7874084,0.9200287,2.5629177,-0.77550024,3.535821,0.34939533,Tony Parker,4
2.7897694,-1.3140045,2.4582024,-3.0086055,1.171211,0.25794047,Yao Ming,1
